model,epoch,lr,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc
transformer,1,0.0003,0.7003774973705392,0.7035775711912357,0.5149700598802395,0.5134615384615384,0.9401408450704225,0.664179104477612,0.5020896227678486
transformer,2,0.0003,0.6942429511183745,0.6978311989121808,0.5111776447105788,0.5127108576859112,0.8442879499217527,0.6379896526237989,0.502528129475941
transformer,3,0.0003,0.6928713658901025,0.6961896523506104,0.5089820359281437,0.5124675324675325,0.7719092331768388,0.6159850140493287,0.5042005291734104
transformer,4,0.0003,0.6915412097313266,0.6982494705689406,0.511377245508982,0.5133597229094508,0.8118153364632238,0.6289784783267657,0.5056191194982992
transformer,5,0.0003,0.6905672330240541,0.697274326278778,0.5105788423153692,0.5151869158878505,0.6901408450704225,0.5899665551839465,0.5047638680038211
transformer,6,0.0003,0.6902423416093499,0.7000360337560049,0.5111776447105788,0.5124854142357059,0.8591549295774648,0.642011401841836,0.506173769502827
transformer,7,0.0003,0.6900968138838142,0.6987025461035098,0.5111776447105788,0.512988589463462,0.8266823161189358,0.6331086142322098,0.5040831901669912
transformer,8,0.00015,0.6894012184732617,0.7017829752491858,0.5111776447105788,0.5119928267204663,0.8935837245696401,0.6509904517600114,0.5037797986870786
transformer,9,0.00015,0.6891110297103749,0.6997437001940257,0.5121756487025948,0.5135593220338983,0.82981220657277,0.6344600658091535,0.5037452825255435
lstm,1,0.0003,0.7112587861856051,0.7025095049016727,0.49221556886227547,0.5026572187776793,0.4440532081377152,0.4715413377648525,0.49730088399636246
lstm,2,0.0003,0.6960636060374273,0.699907438864489,0.49481037924151694,0.5047619047619047,0.5183881064162754,0.5114842694460529,0.5016964733251451
lstm,3,0.0003,0.6926485405696774,0.7007595516726405,0.49600798403193613,0.5068131868131868,0.45109546165884196,0.4773338853239495,0.4974055484769524
lstm,4,0.00015,0.6897255822786328,0.7002565263750072,0.49540918163672654,0.5054390054390054,0.508998435054773,0.5072124756335282,0.49602952542749024
lstm,5,0.00015,0.6886262734605137,0.7007962650167728,0.4998003992015968,0.5097503900156006,0.5113458528951487,0.510546875,0.4992919005475395
lstm,6,7.5e-05,0.6871930805053191,0.7007613741471144,0.5013972055888224,0.5097577388963661,0.5927230046948356,0.5481186685962374,0.4986302743564529
