fold_id,is_partial_tail,train_start_date,train_end_date,val_start_date,val_end_date,test_start_date,test_end_date
1,False,2010-03-31,2015-04-01,2015-04-02,2015-09-30,2015-10-01,2016-04-01
2,False,2010-03-31,2015-09-30,2015-10-01,2016-04-01,2016-04-04,2016-09-29
3,False,2010-03-31,2016-04-01,2016-04-04,2016-09-29,2016-09-30,2017-03-31
4,False,2010-03-31,2016-09-29,2016-09-30,2017-03-31,2017-04-03,2017-09-29
5,False,2010-03-31,2017-03-31,2017-04-03,2017-09-29,2017-10-02,2018-04-03
6,False,2010-03-31,2017-09-29,2017-10-02,2018-04-03,2018-04-04,2018-10-01
7,False,2010-03-31,2018-04-03,2018-04-04,2018-10-01,2018-10-02,2019-04-03
8,False,2010-03-31,2018-10-01,2018-10-02,2019-04-03,2019-04-04,2019-10-02
9,False,2010-03-31,2019-04-03,2019-04-04,2019-10-02,2019-10-03,2020-04-02
10,False,2010-03-31,2019-10-02,2019-10-03,2020-04-02,2020-04-03,2020-10-01
11,False,2010-03-31,2020-04-02,2020-04-03,2020-10-01,2020-10-02,2021-04-05
12,False,2010-03-31,2020-10-01,2020-10-02,2021-04-05,2021-04-06,2021-10-01
13,False,2010-03-31,2021-04-05,2021-04-06,2021-10-01,2021-10-04,2022-04-01
14,False,2010-03-31,2021-10-01,2021-10-04,2022-04-01,2022-04-04,2022-10-03
15,False,2010-03-31,2022-04-01,2022-04-04,2022-10-03,2022-10-04,2023-04-04
16,False,2010-03-31,2022-10-03,2022-10-04,2023-04-04,2023-04-05,2023-10-04
17,False,2010-03-31,2023-04-04,2023-04-05,2023-10-04,2023-10-05,2024-04-05
18,False,2010-03-31,2023-10-04,2023-10-05,2024-04-05,2024-04-08,2024-10-04
19,False,2010-03-31,2024-04-05,2024-04-08,2024-10-04,2024-10-07,2025-04-08
20,False,2010-03-31,2024-10-04,2024-10-07,2025-04-08,2025-04-09,2025-10-08
21,True,2010-03-31,2025-04-08,2025-04-09,2025-10-08,2025-10-09,2026-04-02
