metric,mean,std,median,min,max
val_auc_thr_0_5,0.5217575175017751,0.031861923608187064,0.51819254823414,0.46078219916729235,0.5859780586386091
val_f1_thr_0_5,0.6904109873742066,0.08092552051768172,0.7012987012987013,0.3916211293260473,0.775609756097561
test_auc_thr_0_5,0.5229280171363134,0.04339002588661932,0.5196990410015521,0.44528819595398444,0.6195059985885674
test_f1_thr_0_5,0.6720174617063712,0.13534062732831623,0.7069963177275118,0.11868686868686867,0.7663645518630412
selected_val_cumulative_return,0.23819665923272687,0.1485011044924762,0.2172304574587851,0.0016203509602279453,0.6247718893132044
selected_val_sharpe,2.2591676906022147,1.285485006431545,2.3815119003531287,0.14572666417013225,4.247098296518969
selected_val_max_drawdown,-0.09880583475776214,0.06411508760370171,-0.08277764106266161,-0.22669754327782232,-0.020808420632403846
selected_val_avg_turnover,0.9926739926739925,0.21550559135251776,1.0,0.38461538461538464,1.3076923076923077
selected_test_cumulative_return,0.11172146931423124,0.16050479924952296,0.07433666274182027,-0.18084664581763354,0.452130804160255
selected_test_sharpe,1.0697640197592893,1.085236878982937,0.9678635355903118,-0.9593338956082634,3.2836205103421796
selected_test_max_drawdown,-0.1101954316490685,0.0788963279460451,-0.07810655556295354,-0.3022365773699005,0.0
selected_test_avg_turnover,0.8796336996336995,0.256878656421871,0.9230769230769231,0.0,1.1282051282051282
current_fixed_val_cumulative_return,0.12363787843026529,0.15042215894895122,0.11228376087447911,-0.19732122318588674,0.4895257788747214
current_fixed_val_sharpe,1.34768782408123,1.132181421194113,1.3735358874970147,-0.6989019699959095,3.7876277329965253
current_fixed_val_max_drawdown,-0.09589790780321675,0.0887012138836118,-0.07964015792646573,-0.3160005614360779,-0.0010000000000000009
current_fixed_val_avg_turnover,0.7875457875457874,0.3541008798065049,0.8846153846153846,0.07692307692307693,1.2307692307692308
current_fixed_test_cumulative_return,0.058344620940611894,0.12539188407354185,0.06732314888167101,-0.18101168744365426,0.25398420792130416
current_fixed_test_sharpe,0.6648930772501283,1.3043482311654755,0.9340977079293424,-2.003929318660139,2.6586393625215754
current_fixed_test_max_drawdown,-0.11245513712290592,0.08497961284666382,-0.10480960533954153,-0.3546988349252036,0.0
current_fixed_test_avg_turnover,0.7706959706959706,0.3259725461959726,0.8846153846153846,0.0,1.2692307692307692
