strategy,n_bootstrap,block_length,orig_periods,cumret_mean,cumret_median,cumret_ci_5,cumret_ci_95,annret_mean,annret_ci_5,annret_ci_95,sharpe_mean,sharpe_median,sharpe_ci_5,sharpe_ci_95,mdd_mean,mdd_ci_5,mdd_ci_95,prob_cumret_positive,prob_sharpe_positive
frozen_static_baseline,1000,3,114,0.5753073103721779,0.5066492393140042,-0.14451132638919517,1.497741685190148,0.2074622607479386,-0.06667786653373535,0.4988487991601293,0.9858653659517322,0.9730799712785998,-0.15673161542476763,2.1734098990455424,-0.22102554226370266,-0.38443945906353677,-0.11519570094440094,0.898,0.924
optimized_sticky_execution,1000,3,114,0.2873797500268711,0.22397054589805665,-0.26676701052047286,1.036398365701043,0.10532722993356691,-0.12818813250610872,0.36946154768120737,0.5542184896050361,0.5274912014492814,-0.4749707054572979,1.6491956210751826,-0.24326482425641274,-0.4119769026174044,-0.11752129220532205,0.756,0.807
frozen_static_baseline,1000,5,114,0.5439597604425239,0.4734500789719004,-0.11750798215488127,1.4288948990383428,0.1975122726988165,-0.05376630640067768,0.4804414095613939,0.9450701091623146,0.9111743000973548,-0.1166115110368032,2.1196318272175434,-0.21623604140870945,-0.3645301427661035,-0.11914350720175955,0.895,0.927
optimized_sticky_execution,1000,5,114,0.24096724503918712,0.19442323976113185,-0.2454205595217397,0.890813849197934,0.09009444580212934,-0.11705734929815928,0.32528067097942986,0.49342328866732926,0.47491538183736065,-0.4377180117427238,1.488760964500665,-0.23580878950956408,-0.4100953139223202,-0.12211536489470064,0.748,0.81
frozen_static_baseline,1000,10,114,0.5220287255599318,0.4498060769902975,-0.19072261229098592,1.4297493887960775,0.18806269285570934,-0.08931264311035454,0.48067016503558485,0.9033490396935011,0.8687449784430539,-0.3002420783513374,2.1433141628555656,-0.23332714304481525,-0.39784392387285694,-0.13910018039480276,0.854,0.89
optimized_sticky_execution,1000,10,114,0.24265050663408605,0.21756056881394892,-0.256598999937737,0.8633649537672652,0.09056247817682828,-0.12286385019951782,0.3167403023859421,0.4988842181642312,0.5154085093376788,-0.4690878974958706,1.4506764682279782,-0.245554261178988,-0.41808986645033663,-0.10835474035902071,0.748,0.802
frozen_static_baseline,1000,15,114,0.5628949428631577,0.5167084039678169,-0.18135155935099478,1.489396013234269,0.20254038998122295,-0.08466533808191863,0.4966326563520803,0.9609902708077784,0.9605286036492084,-0.24901517596902645,2.216706061778377,-0.23709298221043895,-0.41514014353334666,-0.14011173686103928,0.881,0.91
optimized_sticky_execution,1000,15,114,0.26217646809131234,0.25494532952534277,-0.34086688740849036,0.9249436623757356,0.09538815341185736,-0.1682992986414668,0.3358038530632158,0.5175682883743868,0.5688255042532282,-0.709314354379413,1.559207386820328,-0.2572510265754051,-0.4697724274341849,-0.1083547403590206,0.729,0.788
frozen_static_baseline,1000,20,114,0.5536230167846034,0.5011964472124075,-0.17816762898025343,1.4837142914514547,0.19860619783311745,-0.08309321526073071,0.4951215536344116,0.9291810066619711,0.9363875629787921,-0.2454771076565308,2.087093996082349,-0.24635480324969689,-0.42835620785524714,-0.14238430523380452,0.856,0.889
optimized_sticky_execution,1000,20,114,0.2847823341739899,0.2397470107950721,-0.28370925321382406,0.9773197648480602,0.1035449974028013,-0.13715231846129078,0.35175239188387597,0.5537712974549858,0.5550794655845139,-0.5367759340596271,1.6398574907320507,-0.2597943595941819,-0.45916665070020796,-0.10835474035902048,0.726,0.779
